Category,Sms,cleaned_sms
trust,"Nipigie baada ya saa moja, tafadhali.",nipigie baada saa moja tafadhali
scam,Naomba unitumie iyo Hela kwenye namba hii ya Airtel 0689933027. jina (PETER NYANGE),naomba unitumie iyo hela kwenye namba airtel jina peter nyange
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0615810764 AU 0615810764",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
trust,Watoto wanapenda sana zawadi ulizowaletea.,watoto wanapenda zawadi ulizowaletea
scam,"IYO PESA ITUME KWENYE NAMBA HII 0657538690 JINA ITALETA Magomba Maila NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta magomba maila nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,Iyo pesa itume humu kwenye AIRTEL 0696530433 jina lije OLIVA MATIAS.,iyo pesa itume humu kwenye airtel jina lije oliva matias
trust,Nashukuru kwa kupokea simu yangu. Tutalifanyia kazi tatizo hili na kurudi kwetu kwa haraka.,nashukuru kupokea simu tutalifanyia kazi tatizo hili kurudi kwetu haraka
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JUMA SIKAREKO,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by juma sikarekoni grp member
trust,"Nimemaliza kufanya mazoezi, sasa ninaenda kupumzika.",nimemaliza kufanya mazoezi sasa ninaenda kupumzika
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0698945621",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By RAMATUNGU,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by ramatunguni grp member
scam,"We need urgently Need Staff salary 4,000,000TZS. Reach HR team at: wa.me/2550657538690.",we need urgently need staff salary tzs reach hr team at wame
scam,0755896103 Jina litakuja SALOME KALUNGA Nitumie kwenye hiyo vodacom,jina litakuja salome kalunga nitumie kwenye vodacom
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0676584303 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,Utanitumia kwa hîi Tigo 0698945621 j'ina ni JUMA SIKAREKO.,utanitumia hîi tigo jina juma sikareko
scam,"Congratulations! Your CV has passed. You can get 170,000TZS in a day. for details: wa.me/2550783654321",congratulations your cv has passed you can get tzs in a day for details wame
scam,"Tuzo point hongera umepata zawadi Sh170,000 milioni kutoka (Tuzo point) piga sim,.0617488472 kupata zawadi  asante",tuzo point hongera umepata zawadi sh milioni kutoka tuzo point piga sim kupata zawadi asante
trust,Nitapita ofisini kwako saa nane mchana.,nitapita ofisini kwako saa nane mchana
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By PETER NYANGE,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by peter nyangeni grp member
trust,Nimetuma pesa kwa namba uliyonipa.,nimetuma pesa namba uliyonipa
